ward_no,Areaname,crime_type,arrest,year,crime_location,latitude,longitude
1,Rogers Park,BURGLARY,f,2015,APARTMENT,41.89573331,-87.68745748
1,Rogers Park,DECEPTIVE PRACTICE,f,2015,OTHER,41.90909834,-87.66880706
1,Rogers Park,OTHER OFFENSE,f,2015,WAREHOUSE,41.90450135,-87.6682633
1,Rogers Park,CRIMINAL DAMAGE,f,2015,STREET,41.90712713,-87.67820998
1,Rogers Park,CRIMINAL DAMAGE,f,2015,STREET,41.91275747,-87.69808733
1,Rogers Park,THEFT,t,2015,SMALL RETAIL STORE,41.89589602,-87.67791339
1,Rogers Park,THEFT,f,2015,STREET,41.93229446,-87.68546805
1,Rogers Park,THEFT,f,2015,CTA TRAIN,41.90334335,-87.66780144
1,Rogers Park,THEFT,f,2015,RESIDENCE,,
1,Rogers Park,THEFT,t,2015,GROCERY FOOD STORE,41.89589602,-87.67791339
1,Rogers Park,BURGLARY,t,2015,RESIDENCE PORCH/HALLWAY,,
1,Rogers Park,DECEPTIVE PRACTICE,f,2015,RESIDENCE,41.93492906,-87.68064888
1,Rogers Park,ROBBERY,f,2015,SIDEWALK,41.90522009,-87.67488656
1,Rogers Park,DECEPTIVE PRACTICE,f,2015,TAXICAB,41.90112258,-87.69523831
1,Rogers Park,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.92882233,-87.68778161
1,Rogers Park,BATTERY,t,2015,SIDEWALK,41.91062494,-87.66799767
1,Rogers Park,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.92882233,-87.68778161
1,Rogers Park,THEFT,f,2015,STREET,41.90630974,-87.67110258
1,Rogers Park,THEFT,f,2015,MOVIE HOUSE/THEATER,41.92882233,-87.68778161
1,Rogers Park,THEFT,f,2015,STREET,41.90377403,-87.67971731
1,Rogers Park,CRIMINAL DAMAGE,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.92964422,-87.68413146
1,Rogers Park,BURGLARY,t,2015,"SCHOOL, PRIVATE, BUILDING",41.90026002,-87.69016313
1,Rogers Park,THEFT,f,2015,STREET,41.90937479,-87.68597538
1,Rogers Park,THEFT,f,2015,STREET,41.90118974,-87.66743444
1,Rogers Park,BATTERY,f,2015,RESIDENCE,41.90330013,-87.67029247
1,Rogers Park,THEFT,f,2015,BAR OR TAVERN,41.90317926,-87.67791973
1,Rogers Park,MOTOR VEHICLE THEFT,f,2015,SPORTS ARENA/STADIUM,41.91312254,-87.69217962
1,Rogers Park,WEAPONS VIOLATION,t,2015,VEHICLE NON-COMMERCIAL,41.91101881,-87.68845333
1,Rogers Park,ROBBERY,f,2015,VEHICLE NON-COMMERCIAL,41.89478541,-87.6780533
1,Rogers Park,THEFT,f,2015,RESIDENCE-GARAGE,41.89886583,-87.67226308
1,Rogers Park,THEFT,t,2015,GROCERY FOOD STORE,41.89589602,-87.67791339
1,Rogers Park,THEFT,f,2015,STREET,41.92585779,-87.69500659
1,Rogers Park,THEFT,f,2015,PARKING LOT/GARAGE(NON.RESID.),41.90332069,-87.66910207
1,Rogers Park,THEFT,f,2015,STREET,41.90779403,-87.67342738
1,Rogers Park,NARCOTICS,t,2015,VEHICLE NON-COMMERCIAL,,
1,Rogers Park,THEFT,f,2015,"SCHOOL, PUBLIC, GROUNDS",41.9077365,-87.66396091
1,Rogers Park,ROBBERY,f,2015,GROCERY FOOD STORE,41.89523856,-87.68683072
1,Rogers Park,THEFT,f,2015,STREET,41.9090189,-87.67742282
1,Rogers Park,THEFT,f,2015,APARTMENT,41.91666527,-87.68824584
1,Rogers Park,THEFT,f,2015,COMMERCIAL / BUSINESS OFFICE,41.93482439,-87.69769934
1,Rogers Park,ASSAULT,t,2015,STREET,41.93658402,-87.68407211
1,Rogers Park,THEFT,f,2015,STREET,41.89540777,-87.67459435
