ward_no,Areaname,latitude,longitude
1,Rogers Park,41.895733305,-87.687457479
1,Rogers Park,41.909098342,-87.668807056
1,Rogers Park,41.904501348,-87.668263297
1,Rogers Park,41.907127129,-87.678209975
1,Rogers Park,41.912757465,-87.698087329
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,41.932294457,-87.685468046
1,Rogers Park,41.903343349,-87.667801443
1,Rogers Park,,
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,,
1,Rogers Park,41.934929057,-87.680648875
1,Rogers Park,41.905220087,-87.674886559
1,Rogers Park,41.901122581,-87.695238313
1,Rogers Park,41.928822325,-87.687781609
1,Rogers Park,41.910624936,-87.667997673
1,Rogers Park,41.928822325,-87.687781609
1,Rogers Park,41.906309742,-87.671102583
1,Rogers Park,41.928822325,-87.687781609
1,Rogers Park,41.903774032,-87.679717307
1,Rogers Park,41.929644221,-87.684131464
1,Rogers Park,41.900260019,-87.690163126
1,Rogers Park,41.909374789,-87.685975384
1,Rogers Park,41.901189742,-87.667434438
1,Rogers Park,41.903300131,-87.67029247
1,Rogers Park,41.903179264,-87.677919727
1,Rogers Park,41.913122544,-87.692179615
1,Rogers Park,41.911018806,-87.688453327
1,Rogers Park,41.894785405,-87.678053302
1,Rogers Park,41.898865831,-87.672263083
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,41.925857793,-87.695006589
1,Rogers Park,41.903320694,-87.669102069
1,Rogers Park,41.907794034,-87.673427375
1,Rogers Park,,
1,Rogers Park,41.907736497,-87.663960909
1,Rogers Park,41.89523856,-87.686830715
1,Rogers Park,41.9090189,-87.677422819
1,Rogers Park,41.916665267,-87.688245842
1,Rogers Park,41.934824387,-87.697699335
1,Rogers Park,41.936584021,-87.68407211
1,Rogers Park,41.895407767,-87.67459435
1,Rogers Park,41.902351209,-87.672774463
1,Rogers Park,41.906276004,-87.670011875
1,Rogers Park,41.932852976,-87.691588814
1,Rogers Park,41.928822325,-87.687781609
1,Rogers Park,41.910534851,-87.674266171
1,Rogers Park,41.905545935,-87.683431561
1,Rogers Park,41.917546362,-87.690728102
1,Rogers Park,41.934407095,-87.687343072
1,Rogers Park,41.90551177,-87.673590473
1,Rogers Park,41.909098342,-87.668807056
1,Rogers Park,41.902027943,-87.69322365
1,Rogers Park,41.904849228,-87.67147768
1,Rogers Park,41.932161301,-87.688626285
1,Rogers Park,41.900179235,-87.673505784
1,Rogers Park,41.91068922,-87.695774944
1,Rogers Park,41.895971375,-87.686849035
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,41.904003566,-87.666185611
1,Rogers Park,,
1,Rogers Park,41.908190024,-87.674047826
1,Rogers Park,41.915990756,-87.687370839
1,Rogers Park,41.914802204,-87.694675876
1,Rogers Park,41.914802204,-87.694675876
1,Rogers Park,41.905220087,-87.674886559
1,Rogers Park,41.902547251,-87.668702341
1,Rogers Park,41.902453466,-87.666253175
1,Rogers Park,41.91435885,-87.695881712
1,Rogers Park,41.906165378,-87.665130827
1,Rogers Park,41.929594412,-87.68405847
1,Rogers Park,41.917540153,-87.691580588
1,Rogers Park,41.919047829,-87.692759637
1,Rogers Park,41.919413546,-87.694369018
1,Rogers Park,41.909881891,-87.676690246
1,Rogers Park,41.919064458,-87.692788866
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.903402827,-87.662929863
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,,
1,Rogers Park,41.914735831,-87.686251878
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.90351448,-87.667498444
1,Rogers Park,41.91775829,-87.687415476
1,Rogers Park,,
1,Rogers Park,41.903289781,-87.670876651
1,Rogers Park,41.899683482,-87.668912026
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.913154151,-87.68851266
1,Rogers Park,41.918581537,-87.68789953
1,Rogers Park,41.905319093,-87.677321096
1,Rogers Park,41.937946135,-87.690096991
1,Rogers Park,41.905992382,-87.678449338
1,Rogers Park,41.928374167,-87.682284863
1,Rogers Park,41.892369545,-87.670717717
1,Rogers Park,,
1,Rogers Park,41.925012581,-87.69009096
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.892402053,-87.66874509
1,Rogers Park,41.913988328,-87.688011943
1,Rogers Park,41.933122198,-87.689189928
1,Rogers Park,41.892368114,-87.670945445
1,Rogers Park,41.914731419,-87.686442974
1,Rogers Park,41.904993496,-87.677970969
1,Rogers Park,,
1,Rogers Park,41.906876417,-87.670387717
1,Rogers Park,,
1,Rogers Park,41.894003939,-87.682509158
1,Rogers Park,41.924870416,-87.690676659
1,Rogers Park,41.896029174,-87.670037113
1,Rogers Park,41.931125217,-87.687868639
1,Rogers Park,41.898461482,-87.687529164
1,Rogers Park,41.913988328,-87.688011943
1,Rogers Park,41.90669464,-87.671701078
1,Rogers Park,41.895772198,-87.685106374
1,Rogers Park,41.911002341,-87.688453492
1,Rogers Park,41.903280255,-87.671604087
1,Rogers Park,41.903280255,-87.671604087
1,Rogers Park,41.908190024,-87.674047826
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.910455165,-87.679046644
1,Rogers Park,41.905351513,-87.669591641
1,Rogers Park,41.90628085,-87.675625072
1,Rogers Park,41.895096234,-87.671005407
1,Rogers Park,41.895887625,-87.678365259
1,Rogers Park,41.900661866,-87.684520624
1,Rogers Park,41.896004701,-87.671502894
1,Rogers Park,,
1,Rogers Park,41.905990057,-87.678522834
1,Rogers Park,41.901644631,-87.671117729
1,Rogers Park,41.901644631,-87.671117729
1,Rogers Park,41.907591689,-87.677385998
1,Rogers Park,41.906034624,-87.66624161
1,Rogers Park,41.905351513,-87.669591641
1,Rogers Park,41.905992382,-87.678449338
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.906223871,-87.670963874
1,Rogers Park,41.908190024,-87.674047826
1,Rogers Park,41.90579466,-87.670296048
1,Rogers Park,41.910236415,-87.695279811
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,41.894239259,-87.681904413
1,Rogers Park,41.903168813,-87.678492886
1,Rogers Park,41.903168813,-87.678492886
1,Rogers Park,41.914552549,-87.689773485
1,Rogers Park,41.895774382,-87.685007181
1,Rogers Park,41.903179264,-87.677919727
1,Rogers Park,41.90628085,-87.675625072
1,Rogers Park,41.914824999,-87.690891343
1,Rogers Park,41.903287652,-87.670983202
1,Rogers Park,41.915733997,-87.690518487
1,Rogers Park,41.901500346,-87.669892333
1,Rogers Park,,
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.906512581,-87.675358194
1,Rogers Park,41.903402827,-87.662929863
1,Rogers Park,41.905735457,-87.666233704
1,Rogers Park,41.910607618,-87.669272675
1,Rogers Park,41.895846815,-87.6808376
1,Rogers Park,41.928452518,-87.688388015
1,Rogers Park,41.907421514,-87.677380393
1,Rogers Park,41.904922274,-87.66892016
1,Rogers Park,41.928822325,-87.687781609
1,Rogers Park,41.929644221,-87.684131464
1,Rogers Park,41.910907582,-87.682359517
1,Rogers Park,41.925092185,-87.687650179
1,Rogers Park,41.922228669,-87.696262699
1,Rogers Park,41.912882419,-87.690951238
1,Rogers Park,41.89553021,-87.667276526
1,Rogers Park,41.904289014,-87.670458566
1,Rogers Park,41.90351448,-87.667498444
1,Rogers Park,41.908750324,-87.68230796
1,Rogers Park,41.911203919,-87.694568465
1,Rogers Park,41.894079192,-87.677887895
1,Rogers Park,,
1,Rogers Park,41.907736497,-87.663960909
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.903176939,-87.677993219
1,Rogers Park,41.912513131,-87.694606847
1,Rogers Park,41.909287666,-87.666435515
1,Rogers Park,41.905992675,-87.678500765
1,Rogers Park,41.910470038,-87.678286009
1,Rogers Park,41.919104365,-87.694533773
1,Rogers Park,41.895897635,-87.677715036
1,Rogers Park,41.934703946,-87.690361109
1,Rogers Park,41.892402053,-87.66874509
1,Rogers Park,41.909699143,-87.676405564
1,Rogers Park,41.892295022,-87.675415985
1,Rogers Park,,
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.894849784,-87.685530743
1,Rogers Park,41.922347745,-87.696456264
1,Rogers Park,41.914824157,-87.690740714
1,Rogers Park,41.910344161,-87.685605555
1,Rogers Park,41.904073407,-87.662628971
1,Rogers Park,41.904318172,-87.665072945
1,Rogers Park,41.894195483,-87.684351008
1,Rogers Park,41.905376422,-87.669628118
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.905900268,-87.663902946
1,Rogers Park,41.912846746,-87.690951595
1,Rogers Park,41.933342373,-87.67959191
1,Rogers Park,41.933342373,-87.67959191
1,Rogers Park,41.902248519,-87.677841085
1,Rogers Park,41.901351049,-87.694376484
1,Rogers Park,41.901353283,-87.668663297
1,Rogers Park,41.900285184,-87.687800975
1,Rogers Park,41.928986675,-87.687239742
1,Rogers Park,,
1,Rogers Park,41.918431595,-87.690032129
1,Rogers Park,,
1,Rogers Park,41.910608234,-87.66937921
1,Rogers Park,41.907416124,-87.674999918
1,Rogers Park,41.913530962,-87.684280084
1,Rogers Park,41.90203515,-87.692547682
1,Rogers Park,41.928986675,-87.687239742
1,Rogers Park,41.91255445,-87.689720078
1,Rogers Park,41.912887914,-87.688504318
1,Rogers Park,41.902751458,-87.667476985
1,Rogers Park,41.894032435,-87.680760573
1,Rogers Park,41.930637665,-87.686568933
1,Rogers Park,41.912779231,-87.697062077
1,Rogers Park,41.90351448,-87.667498444
1,Rogers Park,41.900675587,-87.684520485
1,Rogers Park,41.915749964,-87.688471834
1,Rogers Park,41.912078323,-87.693894767
1,Rogers Park,41.908560535,-87.677409143
1,Rogers Park,41.901474064,-87.668669391
1,Rogers Park,41.901670887,-87.672340676
1,Rogers Park,41.897794634,-87.673052829
1,Rogers Park,41.909241772,-87.68965049
1,Rogers Park,41.931319446,-87.680479874
1,Rogers Park,41.905806685,-87.683439937
1,Rogers Park,41.895896023,-87.677913394
1,Rogers Park,41.908411741,-87.67251728
1,Rogers Park,41.930049492,-87.685920733
1,Rogers Park,41.934335996,-87.678185187
1,Rogers Park,41.90321817,-87.675605077
1,Rogers Park,41.914821275,-87.697122624
1,Rogers Park,41.93125005,-87.691535056
1,Rogers Park,41.895732275,-87.687762347
1,Rogers Park,41.910211547,-87.697723147
1,Rogers Park,41.92212656,-87.693691564
1,Rogers Park,41.895916813,-87.676748841
1,Rogers Park,41.915715209,-87.69255782
1,Rogers Park,41.904334636,-87.665072774
1,Rogers Park,41.911104975,-87.697012575
1,Rogers Park,41.903304304,-87.670064675
1,Rogers Park,41.901120959,-87.69544036
1,Rogers Park,41.907578033,-87.673087949
1,Rogers Park,41.910370518,-87.683955741
1,Rogers Park,41.895062969,-87.672853243
1,Rogers Park,41.919323411,-87.691492908
1,Rogers Park,,
1,Rogers Park,41.896889363,-87.673109903
1,Rogers Park,41.917565094,-87.687707689
1,Rogers Park,41.904922274,-87.66892016
1,Rogers Park,,
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.905046862,-87.669109892
1,Rogers Park,41.903354381,-87.666864606
1,Rogers Park,41.940383834,-87.686338134
1,Rogers Park,41.907534987,-87.665171649
1,Rogers Park,41.918431595,-87.690032129
1,Rogers Park,41.90977667,-87.676526004
1,Rogers Park,41.893324213,-87.668287443
1,Rogers Park,41.905888849,-87.670449364
1,Rogers Park,41.891776817,-87.67693448
1,Rogers Park,41.929743818,-87.684273777
1,Rogers Park,41.915680954,-87.696265362
2,West Ridge,,
2,West Ridge,41.877565108,-87.68479102
2,West Ridge,41.877427291,-87.696946533
2,West Ridge,,
2,West Ridge,41.881944424,-87.634195294
2,West Ridge,41.844026941,-87.622100808
2,West Ridge,41.878128185,-87.68878044
2,West Ridge,41.870724666,-87.628597294
2,West Ridge,,
2,West Ridge,41.851949553,-87.618995915
2,West Ridge,41.880555964,-87.64192187
2,West Ridge,,
2,West Ridge,41.867430279,-87.626155308
2,West Ridge,41.867013845,-87.625822134
2,West Ridge,41.867234401,-87.641301791
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.867234401,-87.641301791
2,West Ridge,,
2,West Ridge,41.881131159,-87.636745285
2,West Ridge,41.846801978,-87.623527134
2,West Ridge,41.867551819,-87.659141229
2,West Ridge,41.874071583,-87.674648259
2,West Ridge,41.878255692,-87.625606346
2,West Ridge,41.874077392,-87.674225948
2,West Ridge,41.872873977,-87.696837492
2,West Ridge,41.876289292,-87.701077667
2,West Ridge,41.845601795,-87.626043417
2,West Ridge,41.86609917,-87.659916448
2,West Ridge,,
2,West Ridge,41.879682085,-87.668201247
2,West Ridge,,
2,West Ridge,41.874549196,-87.686253503
2,West Ridge,41.879899841,-87.683225139
2,West Ridge,41.856294972,-87.62229526
2,West Ridge,41.862218265,-87.639087164
2,West Ridge,41.878996861,-87.639584908
2,West Ridge,41.883938619,-87.68309239
2,West Ridge,41.87133401,-87.624158997
2,West Ridge,41.84702715,-87.623550336
2,West Ridge,,
2,West Ridge,41.844026941,-87.622100808
2,West Ridge,41.845804355,-87.618866093
2,West Ridge,41.874128055,-87.633619572
2,West Ridge,41.846863032,-87.620535258
2,West Ridge,41.877071503,-87.688754339
2,West Ridge,41.878465888,-87.642550279
2,West Ridge,41.880194,-87.665148099
2,West Ridge,41.846801978,-87.623527134
2,West Ridge,41.872967379,-87.629152783
2,West Ridge,41.871852149,-87.639346414
2,West Ridge,41.880653112,-87.634396649
2,West Ridge,41.852887637,-87.622461468
2,West Ridge,41.86821682,-87.6304532
2,West Ridge,41.874348471,-87.644202849
2,West Ridge,41.87995643,-87.680140015
2,West Ridge,41.880200089,-87.692703453
2,West Ridge,41.875070002,-87.640974928
2,West Ridge,41.853953807,-87.622244109
2,West Ridge,,
2,West Ridge,41.867427761,-87.626192049
2,West Ridge,41.831072943,-87.620156406
2,West Ridge,41.868380637,-87.625847449
2,West Ridge,41.853676611,-87.622239838
2,West Ridge,41.867430279,-87.626155308
2,West Ridge,41.867081407,-87.619003708
2,West Ridge,41.867081407,-87.619003708
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.871336669,-87.625925
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.878123916,-87.633208786
2,West Ridge,41.878630716,-87.636673298
2,West Ridge,41.862218265,-87.639087164
2,West Ridge,41.883732346,-87.679146759
2,West Ridge,41.875056172,-87.629221649
2,West Ridge,41.883007417,-87.685360271
2,West Ridge,41.87870641,-87.63693686
2,West Ridge,41.876607964,-87.627644063
2,West Ridge,41.880653112,-87.634396649
2,West Ridge,,
2,West Ridge,41.868044008,-87.63226142
2,West Ridge,41.874107972,-87.631677438
2,West Ridge,41.878337721,-87.696827341
2,West Ridge,41.874107972,-87.631677438
2,West Ridge,41.88058568,-87.640023065
2,West Ridge,41.874033297,-87.677068331
2,West Ridge,41.878334735,-87.697279025
2,West Ridge,41.873659944,-87.686233099
2,West Ridge,41.865332001,-87.624104181
2,West Ridge,41.873807522,-87.69445629
2,West Ridge,41.862451634,-87.640013423
2,West Ridge,41.878931004,-87.639585621
2,West Ridge,41.873480317,-87.624208705
2,West Ridge,41.876607964,-87.627644063
2,West Ridge,41.851098755,-87.624742259
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.883931984,-87.679989354
2,West Ridge,41.851949553,-87.618995915
